iter	Passed	Remaining
413	2128	3012
414	2131	3005
415	2135	2997
416	2141	2993
417	2145	2987
418	2148	2979
419	2154	2974
420	2157	2967
421	2161	2960
422	2164	2952
423	2174	2954
424	2177	2946
425	2182	2941
426	2187	2936
427	2189	2926
428	2191	2916
429	2202	2919
430	2204	2910
431	2208	2903
432	2216	2902
433	2220	2895
434	2222	2886
435	2226	2880
436	2231	2875
437	2236	2869
438	2237	2859
439	2239	2850
440	2241	2841
441	2247	2836
442	2249	2828
443	2265	2836
444	2266	2826
445	2268	2817
446	2278	2818
447	2280	2809
448	2282	2800
449	2286	2794
450	2288	2785
451	2290	2776
452	2292	2767
453	2295	2760
454	2297	2751
455	2299	2742
456	2300	2733
457	2302	2725
458	2304	2716
459	2311	2713
460	2313	2704
461	2315	2696
462	2317	2687
463	2318	2678
464	2320	2670
465	2322	2661
466	2324	2652
467	2326	2644
468	2328	2636
469	2330	2627
470	2331	2618
471	2333	2610
472	2336	2602
473	2337	2594
474	2339	2585
475	2341	2577
476	2346	2572
477	2347	2564
478	2349	2555
479	2351	2547
480	2353	2539
481	2357	2534
482	2359	2525
483	2361	2517
484	2363	2509
485	2365	2501
486	2367	2494
487	2369	2485
488	2370	2477
489	2372	2469
490	2374	2461
491	2376	2453
492	2378	2445
493	2379	2437
494	2381	2429
495	2383	2421
496	2385	2414
497	2387	2406
498	2388	2398
499	2390	2390
500	2392	2383
501	2394	2375
502	2396	2367
503	2397	2359
504	2399	2352
505	2401	2344
506	2402	2336
507	2404	2329
508	2406	2321
509	2408	2314
510	2410	2306
511	2411	2298
512	2413	2291
513	2415	2284
514	2417	2276
515	2419	2269
516	2429	2269
517	2430	2261
518	2432	2254
519	2433	2246
520	2435	2239
521	2441	2235
522	2442	2228
523	2445	2221
524	2447	2214
525	2449	2207
526	2451	2199
527	2452	2192
528	2459	2189
529	2461	2182
530	2462	2175
531	2465	2169
532	2467	2162
533	2469	2155
534	2471	2147
535	2472	2140
536	2478	2137
537	2482	2131
538	2486	2126
539	2488	2119
540	2489	2112
541	2491	2105
542	2493	2098
543	2495	2092
544	2497	2085
545	2499	2078
546	2500	2071
547	2503	2064
548	2505	2058
549	2507	2051
550	2508	2044
551	2510	2037
552	2513	2031
553	2515	2025
554	2517	2018
555	2519	2011
556	2522	2006
557	2524	1999
558	2526	1993
559	2527	1986
560	2531	1980
561	2533	1974
562	2535	1967
563	2537	1961
564	2540	1955
565	2541	1948
566	2543	1942
567	2545	1935
568	2546	1929
569	2550	1923
570	2554	1919
571	2556	1912
572	2559	1907
573	2561	1900
574	2563	1894
575	2564	1887
576	2566	1881
577	2568	1875
578	2573	1871
579	2575	1864
580	2578	1859
581	2580	1853
582	2581	1846
583	2583	1840
584	2584	1833
585	2588	1828
586	2590	1822
587	2592	1816
588	2594	1810
589	2597	1804
590	2598	1798
591	2600	1792
592	2602	1785
593	2603	1779
594	2606	1774
595	2607	1767
596	2609	1761
597	2611	1755
598	2612	1749
599	2619	1746
600	2620	1739
601	2622	1733
602	2626	1728
603	2627	1722
604	2629	1716
605	2630	1710
606	2633	1705
607	2635	1699
608	2637	1693
609	2639	1687
610	2640	1681
611	2642	1675
612	2648	1671
613	2649	1665
614	2652	1660
615	2654	1654
616	2656	1648
617	2657	1642
618	2660	1637
619	2662	1631
620	2664	1626
621	2665	1620
622	2667	1614
623	2670	1608
624	2672	1603
625	2674	1597
626	2676	1592
627	2679	1587
628	2681	1581
629	2683	1575
630	2684	1569
631	2686	1564
632	2688	1558
633	2690	1553
634	2692	1547
635	2695	1542
636	2697	1537
637	2700	1532
638	2702	1526
639	2707	1522
640	2711	1518
641	2714	1513
642	2715	1507
643	2717	1502
644	2719	1496
645	2721	1491
646	2725	1487
647	2728	1482
648	2730	1476
649	2732	1471
650	2734	1465
651	2736	1460
652	2743	1457
653	2745	1452
654	2746	1446
655	2748	1441
656	2750	1436
657	2756	1432
658	2759	1427
659	2760	1422
660	2762	1416
661	2764	1411
662	2766	1406
663	2769	1401
664	2771	1396
665	2773	1390
666	2774	1385
667	2776	1379
668	2778	1374
669	2780	1369
670	2787	1366
671	2788	1361
672	2789	1355
673	2792	1350
674	2798	1347
675	2800	1342
676	2802	1337
677	2804	1331
678	2805	1326
679	2807	1321
680	2809	1316
681	2814	1312
682	2817	1307
683	2818	1302
684	2820	1296
685	2821	1291
686	2823	1286
687	2825	1281
688	2832	1278
689	2834	1273
690	2835	1268
691	2837	1262
692	2839	1257
693	2859	1260
694	2861	1255
695	2863	1250
696	2864	1245
697	2866	1240
698	2868	1235
699	2878	1233
700	2879	1228
701	2880	1222
702	2884	1218
703	2887	1213
704	2889	1209
705	2890	1203
706	2893	1199
707	2895	1194
708	2898	1189
709	2904	1186
710	2906	1181
711	2908	1176
712	2909	1171
713	2913	1166
714	2924	1165
715	2931	1162
716	2937	1159
717	2939	1154
718	2942	1150
719	2944	1145
720	2947	1140
721	2948	1135
722	2949	1130
723	2952	1125
724	2953	1120
725	2955	1115
726	2958	1111
727	2963	1107
728	2964	1102
729	2966	1097
730	2968	1092
731	2970	1087
732	2973	1082
733	2974	1078
734	2976	1073
735	2981	1069
736	2983	1064
737	2989	1061
738	2990	1056
739	2992	1051
740	2994	1046
741	2996	1042
742	2998	1037
743	2999	1032
744	3003	1027
745	3005	1023
746	3007	1018
747	3009	1013
748	3011	1009
749	3027	1009
750	3032	1005
751	3034	1000
752	3037	996
753	3039	991
754	3043	987
755	3046	983
756	3050	979
757	3052	974
758	3054	969
759	3056	965
760	3059	960
761	3063	956
762	3066	952
763	3068	947
764	3070	943
765	3076	939
766	3077	934
767	3079	930
768	3081	925
769	3084	921
770	3085	916
771	3087	911
772	3092	908
773	3093	903
774	3095	898
775	3097	894
776	3103	890
777	3104	885
778	3106	881
779	3113	878
780	3114	873
781	3116	868
782	3117	864
783	3122	860
784	3124	855
785	3125	851
786	3127	846
787	3132	842
788	3134	838
789	3135	833
790	3138	829
791	3140	824
792	3142	820
793	3145	816
794	3151	812
795	3152	807
796	3154	803
797	3156	798
798	3161	795
799	3163	790
800	3164	786
801	3167	782
802	3169	777
803	3171	773
804	3172	768
805	3174	764
806	3176	759
807	3178	755
808	3180	750
809	3181	746
810	3183	741
811	3185	737
812	3186	733
813	3194	730
814	3196	725
815	3198	721
816	3201	717
817	3208	713
818	3212	709
819	3214	705
820	3216	701
821	3218	696
822	3230	694
823	3240	692
824	3242	687
825	3247	684
826	3249	679
827	3256	676
828	3258	672
829	3259	667
830	3267	664
831	3268	660
832	3270	655
833	3271	651
834	3277	647
835	3279	643
836	3281	639
837	3282	634
838	3288	631
839	3291	626
840	3292	622
841	3298	618
842	3299	614
843	3301	610
844	3303	605
845	3311	602
846	3315	598
847	3316	594
848	3321	590
849	3323	586
850	3324	582
851	3325	577
852	3328	573
853	3329	569
854	3331	564
855	3332	560
856	3338	557
857	3339	552
858	3341	548
859	3343	544
860	3344	539
861	3346	535
862	3348	531
863	3349	527
864	3354	523
865	3356	519
866	3360	515
867	3366	511
868	3370	508
869	3379	504
870	3381	500
871	3397	498
872	3398	494
873	3400	490
874	3402	486
875	3403	481
876	3405	477
877	3412	474
878	3414	470
879	3415	465
880	3417	461
881	3422	457
882	3424	453
883	3426	449
884	3427	445
885	3433	441
886	3435	437
887	3436	433
888	3438	429
889	3444	425
890	3445	421
891	3447	417
892	3448	413
893	3454	409
894	3456	405
895	3457	401
896	3459	397
897	3464	393
898	3466	389
899	3467	385
900	3469	381
901	3474	377
902	3476	373
903	3477	369
904	3479	365
905	3484	361
906	3486	357
907	3488	353
908	3495	349
909	3496	345
910	3498	341
911	3500	337
912	3505	334
913	3507	330
914	3509	325
915	3510	321
916	3512	317
917	3513	313
918	3515	309
919	3517	305
920	3519	301
921	3523	298
922	3529	294
923	3532	290
924	3537	286
925	3539	282
926	3544	279
927	3552	275
928	3561	272
929	3563	268
930	3572	264
931	3574	260
932	3575	256
933	3580	252
934	3582	249
935	3584	245
936	3585	241
937	3587	237
938	3608	234
939	3609	230
940	3614	226
941	3616	222
942	3618	218
943	3620	214
944	3623	210
945	3625	206
946	3627	202
947	3637	199
948	3640	195
949	3651	192
950	3652	188
951	3665	184
952	3674	181
953	3679	177
954	3687	173
955	3689	169
956	3690	165
957	3692	161
958	3697	158
959	3699	154
960	3701	150
961	3709	146
962	3711	142
963	3713	138
964	3717	134
965	3721	130
966	3722	127
967	3724	123
968	3726	119
969	3740	115
970	3742	111
971	3743	107
972	3753	104
973	3754	100
974	3756	96
975	3759	92
976	3761	88
977	3764	84
978	3765	80
979	3767	76
980	3788	73
981	3803	69
982	3811	65
983	3812	61
984	3828	58
985	3836	54
986	3839	50
987	3853	46
988	3863	42
989	3868	39
990	3875	35
991	3903	31
992	3919	27
993	3932	23
994	3942	19
995	3958	15
996	3965	11
997	3982	7
998	3991	3
999	3993	0
